scale_km,buffer_km,pet_threshold,elder_threshold,grid_count,grid_share,population_exposed_share,population_dense_grid_count,population_dense_grid_share_within_flag,mean_all_age_buffer_alignment,mean_service_density_pct,mean_transit_buffer_pct,mean_population_pct,mean_housing_price_pct
1.0,0.5,0.7,0.25,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.7,0.3,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.7,0.4,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.75,0.1,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.75,0.2,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.75,0.25,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.75,0.3,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.75,0.4,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.8,0.1,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.8,0.2,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.8,0.25,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.8,0.3,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.8,0.4,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.85,0.1,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.85,0.2,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.85,0.25,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.85,0.3,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.85,0.4,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.9,0.1,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.9,0.2,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.9,0.25,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.9,0.3,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,0.5,0.9,0.4,636,0.06269716088328076,0.17531622516964618,479,0.7531446540880503,0.5804432236944594,0.8664954905091475,0.7846607128520623,0.7930254592038255,0.4537227333983294
1.0,1.0,0.7,0.1,1013,0.09986198738170347,0.12873545886056034,560,0.5528134254689042,0.5296053939194006,0.7060808191623694,0.643274009021448,0.6745863860516236,0.36224288531980847
1.0,1.0,0.7,0.2,1013,0.09986198738170347,0.12873545886056034,560,0.5528134254689042,0.5296053939194006,0.7060808191623694,0.643274009021448,0.6745863860516236,0.36224288531980847
1.0,1.0,0.7,0.25,1013,0.09986198738170347,0.12873545886056034,560,0.5528134254689042,0.5296053939194006,0.7060808191623694,0.643274009021448,0.6745863860516236,0.36224288531980847
1.0,1.0,0.7,0.3,1013,0.09986198738170347,0.12873545886056034,560,0.5528134254689042,0.5296053939194006,0.7060808191623694,0.643274009021448,0.6745863860516236,0.36224288531980847
1.0,1.0,0.7,0.4,1013,0.09986198738170347,0.12873545886056034,560,0.5528134254689042,0.5296053939194006,0.7060808191623694,0.643274009021448,0.6745863860516236,0.36224288531980847
1.0,1.0,0.75,0.1,1013,0.09986198738170347,0.12873545886056034,560,0.5528134254689042,0.5296053939194006,0.7060808191623694,0.643274009021448,0.6745863860516236,0.36224288531980847
