grid_row_id,observed_label,target_class,feature,feature_value,shap_value
1721,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08614596818031607
1563,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.6746977766506045,-0.007005276786092383
6184,mixed_or_midlevel,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9415842421168316,0.05154224202513377
4216,mixed_or_midlevel,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.6227914447544171,-0.03137935776574021
7951,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07372294626606203
3094,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.5455237129089526,-0.07139530893869511
9821,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.5892298588215403,-0.05436863958889681
6510,medical_only_professionalization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8870572322258855,0.005437351640774959
970,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.09415771552920128
8769,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.06996592889966124
6945,retail_only_absorption,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.6227914447544171,-0.026978344054094043
9977,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.07502734614377937
1620,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.06872188864735601
9693,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07104649826942885
6838,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.0711509083889253
6981,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.08626913561037662
6978,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8661763462676473,0.024556012218411003
7940,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07619601325320198
161,bundled_pet_service_maturity,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9729478400541044,0.03335152400589652
143,bundled_pet_service_maturity,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9926451940147096,0.009509378928620377
1627,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07824918568597736
4888,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.09191910333043951
7392,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08071604323584015
10118,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.4877842590244314,-0.0890697091440765
8703,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.09582216400211248
5072,mixed_or_midlevel,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.7959252684081495,-0.008023828843774401
3236,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.759743004480514,-0.025206754380830632
9263,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07215709320270679
5313,mixed_or_midlevel,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8893397582213205,0.014997272825817254
4581,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8376870403246259,0.00712615186615736
3357,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.5892298588215403,-0.056230241609018954
1904,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07105953848752937
3258,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.7480767605038465,-0.03176076835479125
7919,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07183793718386115
7552,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08661667217563651
1523,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08611637830344014
9324,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08660435198508376
6552,bundled_pet_service_maturity,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.997971088004058,0.01008846781148089
5884,mixed_or_midlevel,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9122495561755009,0.09831146178499904
3187,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.6746977766506045,-0.031712162438347874
2498,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.07520153371200802
3617,mixed_or_midlevel,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8128328683743342,-0.005553048541821838
739,retail_only_absorption,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.6746977766506045,-0.010606480399381042
10089,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08176579450398723
9527,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.09311784605658337
7477,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.0892781420511423
5564,retail_only_absorption,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9108124101783752,0.07408534363865454
4011,retail_only_absorption,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.89204497421591,0.1048045190322449
9675,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08643036745602962
1909,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.5892298588215403,-0.05161159414347825
2662,retail_only_absorption,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8332065263335869,0.004433559680309318
825,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.5892298588215403,-0.07503650081713403
4251,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8480852143038295,0.011629487955266157
6786,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07122330639812266
2010,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.4877842590244314,-0.06586382470976869
2635,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.4877842590244314,-0.09250151144770231
10142,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.06964799316639854
4126,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.4877842590244314,-0.0906814969228182
