component,context,strata_spec,threshold,pair,pair_family,grids,O,E,Delta,rho,z_approx,q2.5,q50,q97.5,M,p_upper,R,seed,usable_grids,strata_used
base_ccem,population_dense,base_context_q4,0.7,education_child__recreation,age_related_public_life_pair,3043,1655,1558.63532582113,96.36467417887002,1.0618263121478417,5.4876230208008385,1542.0,1559.0,1576.0,79.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.7,daily_life__transit,urban_service_pair,3043,1820,1753.8233709676813,66.17662903231871,1.0377327786411041,3.827464190452871,1745.0,1754.0,1762.0,58.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,pet_retail__pet_medical,companion_animal_pair,3043,780,677.1815642476039,102.81843575239611,1.151832892655066,6.30186590638209,662.0,677.0,693.0,87.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,3043,671,642.3214702494502,28.678529750549842,1.0446482502591923,1.8150350351332076,627.0,642.0,657.0,14.0,0.0003999200159968006,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,3043,661,623.5837200734794,37.41627992652059,1.0600020153221954,2.3562689523008364,609.0,624.0,638.0,23.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,elder_care__health_care,formal_care_pair,3043,936,889.7870113308192,46.212988669180845,1.0519371356073877,2.706845197949166,879.0,890.0,901.0,35.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,health_care__transit,urban_service_pair,3043,1407,1328.6819812357364,78.31801876426357,1.0589441415404943,4.78065682739699,1315.0,1329.0,1343.0,64.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,daily_life__health_care,urban_service_pair,3043,1726,1622.9331313514078,103.06686864859216,1.0635065405083997,7.732554736370095,1611.0,1623.0,1635.0,91.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,education_child__recreation,age_related_public_life_pair,3043,1334,1261.463188025307,72.53681197469291,1.0575021234573179,4.592767700688026,1244.0,1261.0,1277.0,57.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.8,daily_life__transit,urban_service_pair,3043,1406,1352.9345956342504,53.0654043657496,1.0392224461825317,3.2551777527377355,1341.0,1353.0,1365.0,41.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,pet_retail__pet_medical,companion_animal_pair,3043,507,420.74043474568975,86.25956525431025,1.205018482015993,5.772447497553251,407.0,421.0,435.0,72.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,pet_retail__elder_care,pet_formal_care_contrast,3043,426,418.82497037818945,7.175029621810552,1.0171313320104378,0.5106484883771022,405.0,419.0,432.0,-6.0,0.15656868626274745,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,pet_medical__elder_care,pet_formal_care_contrast,3043,392,365.77740879899216,26.222591201007845,1.0716900239604958,1.89175717749061,353.0,366.0,379.0,13.0,0.0005998800239952009,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,elder_care__health_care,formal_care_pair,3043,583,553.2063679504375,29.79363204956246,1.0538562709607704,2.1823441291981784,543.0,553.0,563.0,20.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,health_care__transit,urban_service_pair,3043,834,788.4695721754161,45.53042782458385,1.0577453200875764,3.6381088974439346,777.0,789.0,800.0,34.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,daily_life__health_care,urban_service_pair,3043,955,888.3127033132915,66.68729668670846,1.0750718710179124,5.971848634244717,877.0,888.0,899.0,56.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,education_child__recreation,age_related_public_life_pair,3043,815,764.3243332640645,50.675666735935465,1.0663012605126987,4.108086592840166,752.0,764.0,777.0,38.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.9,daily_life__transit,urban_service_pair,3043,812,785.8688299904935,26.13117000950649,1.0332513124484433,2.1342230763718257,775.0,786.0,797.0,15.0,0.0001999600079984003,5000,20260609,2934,127
